카테고리 ID,대분류,중분류,소분류
23, ,컴퓨터시스템, 
132001, , ,IT 컨설턴트
132002, , ,컴퓨터시스템 설계 및 분석가
132003, , ,IT 감리 전문가(시스템 감리)
24, ,소프트웨어, 
133100, , ,시스템 소프트웨어 개발자
133101, , ,시스템 소프트웨어 개발자(프로그래머)
133102, , ,펌웨어 및 임베디드 소프트웨어 프로그래머
133200, , ,응용 소프트웨어 개발자
133201, , ,JAVA 프로그래밍 언어 전문가
133202, , ,C언어 및 그 외 프로그래밍 언어 전문가
133203, , ,"범용 응용 소프트웨어 프로그래머(ERP,정보처리,재무관리 등)"
133204, , ,"산업특화 응용 소프트웨어 프로그래머(국방,항공,교통,에너지,금융,자동차 등)"
133205, , ,네트워크 프로그래머
133206, , ,게임 프로그래머
133207, , ,모바일 애플리케이션 프로그래머(앱·어플 개발)
133300, , ,웹 개발자
133301, , ,웹 개발자(웹 엔지니어·웹 프로그래머)
133302, , ,웹 기획자
133900, , ,IT 테스터 및 IT QA 전문가
25, ,데이터·네트워크 및 시스템 운영, 
134100, , ,데이터 전문가
134101, , ,데이터 설계 및 프로그래머
134102, , ,데이터 분석가(빅데이터 분석가)
134103, , ,데이터베이스 운영·관리자
134200, , ,네트워크 시스템 개발자
134301, , ,정보시스템 운영자
134302, , ,네트워크 관리자(클라우딩컴퓨터운영관리자)
134303, , ,IT 기술지원 전문가
134400, , ,웹 운영자(홈페이지 관리자)
134900, , ,디지털 포렌식 전문가 및 기타 데이터·네트워크 전문가
26, ,정보 보안 및 통신·방송 송출, 
135000, , ,정보보안 전문가
135001, , ,정보보호 전문가
135002, , ,침해사고 대응 전문가
136000, , ,통신·방송송출 장비 기사
27, ,건설·채굴 연구 및 공학기술, 
140100, , ,건축가(건축설계 포함)
140200, , ,건축공학 기술자
140201, , ,건축 현장소장
140202, , ,건축구조 기술자
140203, , ,"건축시공 기술자(건축견적, 공무포함)"
140204, , ,건축설비 기술자
140205, , ,건축감리 기술자
140206, , ,건축안전·환경·품질·에너지관리 기술자
140300, , ,토목공학 기술자
140301, , ,토목 현장소장
140302, , ,토목구조 설계 기술자
140303, , ,"토목시공 기술자(토목견적, 공무포함)"
140304, , ,토목감리 기술자
140305, , ,토목안전·환경·품질 기술자
140400, , ,조경 기술자
140500, , ,도시·교통 전문가
140501, , ,도시 계획·설계가
140502, , ,교통 계획·설계·안전·영향평가 전문가
140600, , ,측량·지리정보 전문가
140601, , ,측량사
140602, , ,지도제작 및 지리정보시스템 전문가
140700, , ,건설자재 시험원
28, ,기계·로봇·금속·재료 연구 및 공학기술, 
151100, , ,기계공학 기술자 및 연구원
151101, , ,산업기계공학 기술자 및 연구원
151102, , ,건설기계공학 기술자 및 연구원
151103, , ,금형공학 기술자 및 연구원
151104, , ,플랜트공학 기술자 및 연구원
151105, , ,냉난방·공조공학 기술자 및 연구원
151106, , ,조선·해양공학 기술자 및 연구원
151107, , ,항공기·철도차량 공학 기술자 및 연구원
151108, , ,자동차공학 기술자 및 연구원
151109, , ,기타 기계공학 기술자 및 연구원
151110, , ,기계감리 기술자
151200, , ,로봇공학 기술자 및 연구원
151300, , ,기계·로봇공학 시험원
152100, , ,금속·재료공학 기술자 및 연구원
152200, , ,금속·재료공학 시험원
29, ,전기·전자 연구 및 공학기술, 
153100, , ,전기공학 기술자 및 연구원
153101, , ,전기기기·제품 개발 기술자 및 연구원
153102, , ,"전기계측 제어 기술자(전기패널, 계장, 공정자동화전기 등)"
153103, , ,발전설비 기술자
153104, , ,송·배전설비 기술자
153105, , ,"전기공사 기술자(전기견적, 공무포함)"
153106, , ,전기감리 기술자
153107, , ,전기안전 기술자
153200, , ,전자공학 기술자 및 연구원
153201, , ,전자부품 개발 기술자 및 연구원
153202, , ,산업용 전자제품 개발 기술자 및 연구원
153203, , ,가전제품 개발 기술자 및 연구원
153204, , ,전자의료기기 개발 기술자 및 연구원
153205, , ,반도체공학 기술자 및 연구원
153206, , ,전자제어계측 기술자 및 연구원
153300, , ,전기·전자공학 시험원
02A, ,화학·에너지·환경 연구 및 공학기술, 
154100, , ,화학공학 기술자 및 연구원
154101, , ,석유화학 기술자 및 연구원
154102, , ,고무·플라스틱 기술자 및 연구원
154103, , ,도료제품 기술자 및 연구원
154104, , ,화장품·비누제품 기술자 및 연구원
154105, , ,"의약품, 농약, 비료 등 기타 석유화학 기술자 및 연구원"
154200, , ,화학공학 시험원
155100, , ,가스·에너지공학 기술자 및 연구원
155101, , ,가스 기술자 및 연구원
155102, , ,"에너지공학 기술자 및 연구원(에너지, 탐사, 시추)"
155200, , ,가스·에너지 시험원
155300, , ,환경공학 기술자 및 연구원
155301, , ,대기 환경 기술자 및 연구원
155302, , ,수질 환경 기술자 및 연구원
155303, , ,폐기물처리 기술자 및 연구원
155304, , ,환경영향 평가원
155305, , ,"소음진동, 토양 등 기타 환경 기술자 및 연구원"
155400, , ,환경공학 시험원
155500, , ,보건위생·환경 검사원
02B, ,섬유·식품·소방·방재·산업안전 연구 및 공학기술, 
156100, , ,섬유공학 기술자 및 연구원
156200, , ,섬유공학 시험원(섬유·염료)
157100, , ,식품공학 기술자 및 연구원
157200, , ,식품공학 시험원
158100, , ,방재 기술자 및 연구원
158200, , ,소방공학 기술자 및 연구원
158201, , ,소방설계 기술자
158202, , ,소방시설·설비 시공 기술자
158203, , ,소방공사 감리 기술자
158300, , ,소방공학 시험원
158400, , ,산업 안전원 및 위험물 관리원
158500, , ,비파괴 검사원
02C, ,제도사(3D프린팅포함) 및 기타 인쇄·목재 등 공학기술, 
159100, , ,제도사
159101, , ,건축 제도사(캐드원)
159102, , ,토목 제도사(캐드원)
159103, , ,기계·금속 제도사(캐드원)
159104, , ,전기·전자 장비 제도사(캐드원)
159105, , ,3D 프린팅 제도사
159106, , ,기타 제도사(캐드원)
159900, , ,기타 인쇄·목재 등 공학 기술자 및 시험원
3,교육·법률·사회복지·경찰·소방 및 군인, , 
31, ,"대학교수, 학교 및 유치원 교사", 
211100, , ,대학 교수
211200, , ,"대학 시간강사(초빙,겸임,BK,강의전담 교수 등 비전임교원 포함)"
212100, , ,중·고등학교 교사
212101, , ,국어 교사
212102, , ,수학 교사
212103, , ,사회 교사
212104, , ,과학 교사
212105, , ,예체능 교사
212106, , ,실업 교사
212107, , ,외국어 교사
212108, , ,진로·교양·기타 교사
212109, , ,기타 중·고등학교 교사
212200, , ,초등학교 교사
212300, , ,특수교육 교사
212900, , ,기타 교사
213000, , ,유치원 교사
232100, , ,보육 교사
32, ,문리·어학 강사, 
214100, , ,문리·어학 강사
214101, , ,국어 강사
214102, , ,수학 강사
214103, , ,사회 강사
214104, , ,과학 강사
214105, , ,성인고시·입사시험 학원 강사
214106, , ,영어 강사
214107, , ,중국어 강사
214108, , ,일본어 강사
214109, , ,한국어 강사(다문화 언어지도사 포함)
214110, , ,그 외 외국어 강사
214111, , ,독서·논술 강사
214113, , ,그 외 문리·어학 강사
33, ,컴퓨터·기술·기능계 강사, 
214200, , ,컴퓨터 강사
214201, , ,"컴퓨터 기초 강사(OA, 워드, 엑셀, 컴퓨터활용능력 등)"
214202, , ,프로그래밍·웹·웹디자인·DB 강사
214301, , ,"간호조무사, 간병, 관광안내 강사"
214302, , ,디자인·캐드 강사
214303, , ,이미용·예식 강사
214304, , ,요리 강사
214305, , ,자동차운전강사
214306, , ,건설토목강사
214307, , ,기계·금속·전기·전자 강사
214308, , ,기타 기술·기능 강사
34, ,예능·학습지·기타 강사, 
214400, , ,예능 강사
214401, , ,미술 강사
214402, , ,음악 강사
214403, , ,무용 강사
214404, , ,기타 예능 강사(바둑·웅변·연기·꽃꽂이·종이접기 등)
214900, , ,"교육연수기관 및 기업체내 강사(리더십, 서비스마인드 등)"
420401, , ,태권도·검도·합기도 등 무술사범
420402, , ,수영·골프·테니스·배드민턴·탁구 등 스포츠 강사
35, ,장학관·교육조교(RA포함) 및 교사·보육 보조, 
215100, , ,장학관·연구관 및 교육 전문가
215101, , ,장학관·연구관·입학사정관
215102, , ,교재·교구 및 e-learning 교육 전문가
215200, , ,대학 교육 조교(TA) 및 연구 조교(RA)
215300, , ,교사보조 및 보육보조 서비스 종사원
215301, , ,교사 보조원
